Player,Character,GP Number
Tom,Wiggler,5
Callum,Rocky Wrench,5
Connor,Mario,5
Matthew,Wario,5
Tom,Donkey Kong,6
Callum,Daisy,6
Connor,Mario,6
Matthew,Wario,6
Tom,Rocky Wrench,7
Callum,Donkey Kong,7
Connor,Luigi,7
Matthew,Wario,7
Tom,Donkey Kong,8
Callum,Peach,8
Connor,Mario,8
Matthew,Wario,8
Tom,Donkey Kong,9
Callum,Daisy,9
Connor,Lakitu,9
Matthew,Wario,9
Tom,Donkey Kong,10
Callum,Daisy,10
Connor,Mario,10
Matthew,Wario,10
Tom,Donkey Kong,11
Callum,Daisy,11
Connor,Mario,11
Matthew,Wario,11
Tom,Donkey Kong,12
Callum,Daisy,12
Connor,Mario,12
Matthew,Wario,12
Tom,Donkey Kong,13
Callum,Sidestepper,13
Connor,Mario,13
Matthew,Wario,13
Tom,Donkey Kong,14
Callum,Peach,14
Connor,Mario,14
Matthew,Wario,14
Tom,Shy Guy,15
Callum,Daisy,15
Connor,Mario,15
Matthew,Toadette,15
Tom,Shy Guy,16
Callum,Peach,16
Connor,Mario,16
Matthew,Toadette,16
Tom,Shy Guy,17
Callum,Peach,17
Connor,Mario,17
Matthew,Toadette,17
Evan,Toad,17
Tom,Shy Guy,18
Callum,Daisy,18
Connor,Lakitu,18
Matthew,Goomba,18
Evan,Koopa Troopa,18
Tom,Waluigi,19
Callum,Peach,19
Connor,Baby Luigi,19
Matthew,Wario,19
Evan,Toad,19
Tom,Luigi,20
Callum,Daisy,20
Connor,Baby Luigi,20
Matthew,Stingby,20
Evan,Koopa Troopa,20
Tom,Wiggler,21
Callum,Yoshi,21
Connor,Baby Luigi,21
Matthew,Toadette,21
Evan,Koopa Troopa,21
Tom,Wiggler,22
Callum,Daisy,22
Connor,Baby Luigi,22
Matthew,Goomba,22
Evan,Koopa Troopa,22
Steve,Dry Bones,22
Tom,Wiggler,23
Callum,Conkdor,23
Connor,Baby Luigi,23
Matthew,Goomba,23
Evan,Koopa Troopa,23
Steve,Bowser,23
Tom,Donkey Kong,24
Callum,Daisy,24
Connor,Baby Luigi,24
Matthew,Wario,24
Evan,Koopa Troopa,24
Steve,King Boo,24
Tom,Donkey Kong,25
Callum,Daisy,25
Connor,Baby Luigi,25
Matthew,Wario,25
Tom,Shy Guy,26
Callum,Mario,26
Connor,Baby Luigi,26
Matthew,Koopa Troopa,26
Evan,Toad,26
Steve,Rosalina,26
Tom,Donkey Kong,27
Callum,Toadette,27
Connor,Baby Luigi,27
Matthew,Bowser,27
Evan,Toad,27
Steve,Baby Rosalina,27
Tom,Donkey Kong,28
Callum,Peach,28
Connor,Mario,28
Matthew,Goomba,28
Steve,Cheep Cheep,28
Tom,Shy Guy,29
Callum,Fish Bone,29
Connor,Baby Luigi,29
Matthew,Goomba,29
Steve,Koopa Troopa,29
Tom,Donkey Kong,30
Callum,Daisy,30
Connor,Baby Luigi,30
Matthew,Goomba,30
Steve,Toadette,30
Tom,Donkey Kong,31
Callum,Yoshi,31
Matthew,Goomba,31
Evan,Lakitu,31
